172.64.229.105:443#JP 电信优选[52ms]
172.64.229.226:443#JP 电信优选[53ms]
172.64.229.27:443#JP 电信优选[53ms]
172.64.229.147:443#JP 电信优选[53ms]
172.64.229.177:443#JP 电信优选[54ms]
172.64.229.73:443#JP 电信优选[54ms]
172.64.229.10:443#JP 电信优选[54ms]
172.64.229.26:443#JP 电信优选[54ms]
172.64.229.121:443#JP 电信优选[55ms]
172.64.229.49:443#JP 电信优选[55ms]
172.64.229.94:443#JP 电信优选[55ms]
172.64.229.248:443#JP 电信优选[55ms]
172.64.229.45:443#JP 电信优选[55ms]
172.64.229.197:443#JP 电信优选[56ms]
172.64.229.154:443#JP 电信优选[56ms]
172.64.229.164:443#JP 电信优选[56ms]
172.64.229.241:443#JP 电信优选[56ms]
172.64.229.80:443#JP 电信优选[56ms]
172.64.229.33:443#JP 电信优选[56ms]
172.64.229.81:443#JP 电信优选[57ms]
172.64.229.31:443#JP 电信优选[57ms]
172.64.229.92:443#JP 电信优选[57ms]
172.64.229.229:443#JP 电信优选[57ms]
172.64.229.0:443#JP 电信优选[57ms]
172.64.229.50:443#JP 电信优选[58ms]
172.64.229.34:443#JP 电信优选[58ms]
172.64.229.6:443#JP 电信优选[58ms]
172.64.229.112:443#JP 电信优选[58ms]
172.64.229.124:443#JP 电信优选[58ms]
172.64.229.110:443#JP 电信优选[58ms]
172.64.229.246:443#JP 电信优选[58ms]
172.64.229.109:443#JP 电信优选[58ms]
172.64.229.135:443#JP 电信优选[58ms]
172.64.229.159:443#JP 电信优选[58ms]
172.64.229.123:443#JP 电信优选[59ms]
172.64.229.38:443#JP 电信优选[59ms]
172.64.229.23:443#JP 电信优选[59ms]
172.64.229.22:443#JP 电信优选[59ms]
172.64.229.160:443#JP 电信优选[59ms]
172.64.229.5:443#JP 电信优选[59ms]
172.64.229.98:443#JP 电信优选[60ms]
172.64.229.233:443#JP 电信优选[60ms]
172.64.229.179:443#JP 电信优选[60ms]
172.64.229.221:443#JP 电信优选[60ms]
172.64.229.171:443#JP 电信优选[60ms]
172.64.229.228:443#JP 电信优选[60ms]
172.64.229.37:443#JP 电信优选[61ms]
172.64.229.238:443#JP 电信优选[61ms]
172.64.229.139:443#JP 电信优选[61ms]
172.64.229.32:443#JP 电信优选[61ms]
172.64.229.239:443#JP 电信优选[61ms]
172.64.229.15:443#JP 电信优选[61ms]
172.64.229.150:443#JP 电信优选[61ms]
172.64.229.100:443#JP 电信优选[62ms]
172.64.229.111:443#JP 电信优选[62ms]
172.64.229.66:443#JP 电信优选[62ms]
172.64.229.219:443#JP 电信优选[62ms]
172.64.229.215:443#JP 电信优选[62ms]
172.64.229.95:443#JP 电信优选[63ms]
172.64.229.40:443#JP 电信优选[63ms]
172.64.229.89:443#JP 电信优选[64ms]
172.64.229.75:443#JP 电信优选[64ms]
172.64.229.176:443#JP 电信优选[64ms]
172.64.229.252:443#JP 电信优选[64ms]
172.64.229.202:443#JP 电信优选[65ms]
172.64.229.223:443#JP 电信优选[66ms]
172.64.229.191:443#JP 电信优选[66ms]
