45.94.40.79:8443#JP 优选反代[44ms]
45.89.234.115:443#JP 优选反代[54ms]
45.94.40.58:8443#JP 优选反代[57ms]
38.147.173.136:443#HK 优选反代[60ms]
104.18.45.216:443#SG 电信优选[77ms]
172.64.153.40:443#SG 电信优选[83ms]
185.200.66.10:443#JP 优选反代[85ms]
45.142.127.22:443#JP 优选反代[96ms]
45.153.245.221:443#JP 优选反代[98ms]
45.142.126.32:443#JP 优选反代[98ms]
185.200.65.32:443#JP 优选反代[107ms]
167.253.156.210:8443#JP 优选反代[121ms]
104.17.156.25:443#US 电信优选[150ms]
64.186.228.41:443#US 优选反代[152ms]
104.17.147.66:443#US 电信优选[154ms]
104.18.0.1:443#US 电信优选[155ms]
104.19.0.6:443#US 电信优选[162ms]
45.59.187.71:8444#US 优选反代[162ms]
162.159.198.1:443#US 电信优选[163ms]
162.159.197.1:443#US 电信优选[166ms]
45.59.187.68:33004#US 优选反代[171ms]
45.59.186.73:29453#US 优选反代[172ms]
45.59.184.58:8443#US 优选反代[186ms]
45.59.184.18:443#US 优选反代[190ms]
135.125.123.246:5432#FR 优选反代[227ms]
104.16.0.1:443#US 电信优选[361ms]
104.17.0.3:443#US 电信优选[371ms]
